Diametro1(cm - flex);Diametro1 (mm vernier);Diametro1 (mm - tornillo);Masa1(g)
2.1;22.35;26.38;67.1
2.1;22.35;25.38;
2.2;22.35;26.39;
2.1;22.35;26.39;
2.2;22.45;25.38;
2.2;22.35;25.33;
2.2;22.35;25.33;
2.2;22.36;25.33;
2.1;22.34;25.35;
2.2;22.40;25.36;
2.3;22.30;25.38;
2.2;22.32;25.37;
2.1;22.34;25.37;
2.3;22.38;25.38;
2.3;22.38;25.38;
