L1 (cm - Flex);L2 (cm - Flex);L3 (cm - Flex);L1 (mm - Vernier);L2 (mm - Vernier);L3 (mm - Vernier);Masa (g)
2.9;2.9;3;31.95;30.7;32.1;14.2
2.9;2.9;3;30.65;31.45;31.95;
2.9;3;2.9;31.25;31.75;30.85;
3;3;3.2;31.65;31.9;31.15;
3;2.9;3.2;30.75;31.55;30.9;
2.9;2.9;3;32.15;30.95;29.75;
2.9;2.9;3;30.05;29.55;31.55;
2.9;3;2.9;32.95;30.85;29.75;
3;3;3.2;30.85;29.65;31.45;
3;2.9;3.2;32.05;29.85;30.85;
2.9;3;3;31.6;32.25;31.15;
3;2.9;3;31.6;31.2;31.55;
3;2.9;3;32.05;31.35;31.25;
3;2.9;2.9;31.3;30.65;30.9;
3;2.9;3;31.6;30.75;31.45;
