Diametro2 (cm - flex);Diametro2 (mm vernier);Diametro2 (mm - tornillo);Masa2 (g)
1.5;12.35;16.39;16.2
1.5;12.35;16.39;0
1.5;12.35;16.38;0
1.4;12.35;16.38;0
1.4;12.36;16.38;0
1.5;12.36;16.35;0
1.4;12.35;16.36;0
1.4;12.35;16.36;0
1.5;12.35;16.35;0
1.4;12.36;16.34;0
1.5;12.35;16.38;0
1.6;12.36;16.39;0
1.5;12.35;16.39;0
1.4;12.35;16.38;0
1.5;12.35;16.39;0
