T4 (s);T10 (s);;;;;;;;;;
6,20;13,83;;;;;;;;;;
6,14;13,86;;;;;;;;;;
6,39;13,93;;;;;;;;;;
6,16;13,80;;;;;;;;;;
6,32;13,86;;;;;;;;;;
6,06;;;;;;;;;;;
6,16;;;;;;;;;;;
6,14;;;;;;;;;;;
6,18;;;;;;;;;;;
6,21;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
